,airline,number_of_changes,origin_city_code,destination_country_code,search_month,search_weekday,depart_month,depart_weekday,diff_days,distance,price
260,S7 Airlines,2,MOW,RU,4,5,4,1,10,3417.06,32589
262,S7 Airlines,1,MOW,RU,4,5,4,1,24,2850.63,15883
265,Pobeda,1,MOW,RU,4,5,4,3,19,1397.49,5952
267,Pobeda,1,MOW,RU,4,5,4,1,10,4105.39,12866
268,Wizz Air,3,MOW,IT,4,5,4,4,27,2219.51,26323
271,Azimut,0,MOW,RU,4,5,4,0,16,616.0,1480
277,Nordwind Airlines,0,MOW,RU,4,5,4,6,22,630.33,1869
278,Uzbekistan Airways,2,MOW,IN,4,5,4,5,21,5841.33,37489
288,Azimut,2,MOW,RU,4,5,4,5,21,444.87,4723
290,Pobeda,1,MOW,RU,4,5,4,0,9,3908.69,14338
293,S7 Airlines,0,MOW,RU,4,5,4,1,17,1338.21,5500
297,Uzbekistan Airways,0,MOW,UZ,4,5,4,0,16,2286.26,5384
298,Turkish Airlines,1,MOW,TR,4,5,4,2,18,1770.54,31539
299,Turkish Airlines,2,MOW,TR,4,5,4,0,23,1533.5,46360
301,Pobeda,1,MOW,RU,4,5,4,2,4,4029.66,17830
302,Pobeda,2,MOW,TR,4,5,4,3,19,2185.48,20313
304,Pobeda,0,MOW,RU,4,5,4,6,22,1476.0,4649
305,Pobeda,2,MOW,RU,4,5,4,1,10,5110.23,15298
306,Turkish Airlines,2,MOW,GR,4,5,4,1,24,2335.85,34142
307,Pegasus Airlines,2,MOW,TR,4,5,4,3,19,2007.59,31304
309,Aeroflot,2,MOW,TR,4,5,4,5,28,1964.06,24849
310,Pegasus Airlines,3,MOW,DE,4,5,4,6,22,1735.05,32322
311,Pobeda,0,MOW,RU,4,5,4,1,10,906.06,3349
317,Pobeda,0,MOW,RU,4,5,4,3,19,1162.99,2799
323,S7 Airlines,1,MOW,RU,4,5,4,1,17,6646.73,13652
327,Aeroflot,1,MOW,RU,4,5,4,1,3,3459.75,24555
330,Turkish Airlines,2,MOW,DE,4,5,4,2,25,1878.88,38016
331,Pobeda,0,MOW,RU,4,5,4,4,20,1474.31,4149
338,Wizz Air,3,MOW,IT,4,5,4,4,27,2383.39,27348
339,Azimut,1,MOW,RU,4,5,4,6,22,2305.01,6781
340,Nordwind Airlines,0,MOW,RU,4,5,4,0,23,926.25,1913
341,Wizz Air,2,MOW,ES,4,5,4,4,27,3023.07,28209
345,Turkish Airlines,4,MOW,IT,4,5,4,2,11,2705.33,39916
346,Turkish Airlines,2,MOW,TR,4,5,4,2,18,2071.69,20535
347,Turkish Airlines,2,MOW,TR,4,5,4,3,5,1956.25,25208
349,Pobeda,0,MOW,RU,4,5,4,2,18,730.24,3549
352,Uzbekistan Airways,2,MOW,IN,4,5,4,3,26,3925.2,39807
354,Wizz Air,2,MOW,DE,4,5,4,4,27,2080.67,25755
355,S7 Airlines,0,MOW,RU,4,5,4,6,8,5010.31,10068
360,S7 Airlines,2,MOW,RU,4,5,4,1,10,4304.16,44888
373,Pobeda,0,MOW,RU,4,5,4,2,4,2919.21,8449
375,Turkish Airlines,1,MOW,TR,4,5,4,5,14,1828.92,35486
380,Azimut,1,MOW,RU,4,5,4,3,19,1372.69,5044
388,Pegasus Airlines,3,MOW,IT,4,5,4,0,23,2347.45,25846
389,Pobeda,1,MOW,RU,4,5,4,6,1,4728.02,12948
392,Pobeda,0,MOW,RU,4,5,4,6,8,1699.29,3949
393,Pobeda,0,MOW,RU,4,5,4,3,19,1141.58,2799
397,Pobeda,0,MOW,RU,4,5,4,2,11,1727.77,4049
398,Uzbekistan Airways,2,MOW,IN,4,5,4,0,23,5436.87,39350
400,Uzbekistan Airways,0,MOW,UZ,4,5,4,1,24,3009.67,5460
408,Aeroflot,0,MOW,RU,4,5,4,6,22,1238.84,4380
416,Aeroflot,1,MOW,KZ,4,5,4,0,16,1365.67,19030
418,Azimut,2,MOW,GR,4,5,4,3,19,2225.12,26227
422,Nordwind Airlines,0,MOW,RU,4,5,4,2,11,1245.22,4428
425,Azimut,0,MOW,RU,4,5,4,1,24,1137.51,4780
430,Uzbekistan Airways,3,MOW,IN,4,5,4,6,22,5527.75,39059
431,Uzbekistan Airways,1,MOW,UZ,4,5,4,4,13,2792.29,8940
433,S7 Airlines,0,MOW,RU,4,5,4,1,17,365.9,2801
436,Pobeda,0,MOW,RU,4,5,4,2,4,1193.19,5149
438,Pobeda,1,MOW,RU,4,5,4,0,2,4419.25,22277
439,Azimut,1,MOW,RU,4,5,4,3,19,893.09,2308
442,Pobeda,2,MOW,DE,4,5,4,2,11,1908.87,25030
445,Pobeda,0,MOW,RU,4,5,4,0,23,771.09,3099
446,Wizz Air,3,MOW,IT,4,5,4,4,27,2293.35,32413
450,S7 Airlines,1,MOW,RU,4,5,4,1,10,6144.5,13273
451,Turkish Airlines,2,MOW,TR,4,5,4,1,10,2021.43,24559
452,Turkish Airlines,2,MOW,GR,4,5,4,1,24,1899.49,38065
456,Azimut,1,MOW,RU,4,5,4,0,23,2345.3,6926
459,S7 Airlines,1,MOW,RU,4,5,4,0,23,6781.36,13994
466,Pegasus Airlines,2,MOW,TR,4,5,5,0,51,1608.63,16139
467,S7 Airlines,1,MOW,RU,4,5,5,2,53,3379.79,11288
469,Pegasus Airlines,2,MOW,TR,4,5,5,2,53,2086.37,16890
476,Pegasus Airlines,2,MOW,GR,4,5,5,4,48,2335.39,15173
477,Nordwind Airlines,0,MOW,RU,4,5,5,3,47,1270.49,4213
484,Aeroflot,1,MOW,RU,4,5,5,6,29,7042.45,20435
485,S7 Airlines,1,MOW,RU,4,5,5,5,56,1906.42,7900
490,S7 Airlines,1,MOW,RU,4,5,5,3,54,3795.94,19470
492,S7 Airlines,2,MOW,RU,4,5,5,6,43,5563.57,25608
494,Turkish Airlines,2,MOW,US,4,5,5,6,50,8196.79,39407
506,Uzbekistan Airways,1,MOW,IN,4,5,5,1,59,4338.6,26678
509,Pegasus Airlines,2,MOW,DE,4,5,5,1,59,2135.42,30145
511,Pobeda,0,MOW,RU,4,5,5,5,42,1496.68,5149
514,Turkish Airlines,2,MOW,TR,4,5,5,6,29,1731.5,28194
515,S7 Airlines,0,MOW,RU,4,5,5,3,47,345.27,963
517,Pegasus Airlines,1,MOW,TR,4,5,5,5,56,1643.31,18470
520,Pegasus Airlines,2,MOW,ES,4,5,5,1,45,3227.16,24356
523,Aeroflot,0,MOW,RU,4,5,5,3,40,253.0,2250
526,Azimut,2,MOW,TR,4,5,5,5,56,2195.74,17526
528,Aeroflot,2,MOW,KZ,4,5,5,3,47,3021.44,18377
529,Azimut,1,MOW,RU,4,5,5,5,56,3324.82,7364
532,Pegasus Airlines,1,MOW,TR,4,5,5,2,53,2089.38,16988
536,Azimut,1,MOW,RU,4,5,5,5,49,1334.24,3360
540,Azimut,1,MOW,RU,4,5,5,2,46,386.51,4630
541,Nordwind Airlines,1,MOW,RU,4,5,5,4,34,808.34,7652
542,S7 Airlines,0,MOW,RU,4,5,5,1,38,2161.81,7868
544,Uzbekistan Airways,2,MOW,IN,4,5,5,5,49,4427.85,39390
545,Nordwind Airlines,1,MOW,DE,4,5,5,1,59,2072.57,9801
547,Azimut,1,MOW,RU,4,5,5,2,46,152.1,5039
548,Turkish Airlines,3,MOW,DE,4,5,5,5,49,2018.9,25568
551,Turkish Airlines,1,MOW,KZ,4,5,5,4,48,2590.71,32616
554,S7 Airlines,1,MOW,RU,4,5,5,0,51,5876.42,13592
