,airline,number_of_changes,origin_city_code,destination_country_code,search_month,search_weekday,depart_month,depart_weekday,diff_days,distance,price
28365,Azimut,1,KRR,RU,4,0,7,5,96,575.73,3560
28368,Azimut,1,KRR,RU,4,0,7,6,90,1650.26,8604
28370,Nordwind Airlines,1,KRR,RU,4,0,7,6,90,6813.15,15574
28373,Aeroflot,1,KRR,RU,4,0,7,2,114,7692.61,21348
28374,S7 Airlines,1,KRR,RU,4,0,8,5,145,3819.37,16032
28378,Azimut,0,KRR,RU,4,0,8,0,133,702.41,1980
28381,Aeroflot,1,KRR,RU,4,0,8,0,147,2637.74,13690
28384,Uzbekistan Airways,2,KRR,IN,4,0,8,2,149,3798.16,36067
28386,Azimut,1,KRR,RU,4,0,8,3,136,1946.6,5468
28387,Azimut,0,KRR,RU,4,0,8,2,149,979.62,1680
28388,Azimut,0,KRR,RU,4,0,8,2,128,1400.49,3280
28390,Turkish Airlines,1,KRR,TR,4,0,8,6,146,1128.94,21918
28391,Azimut,1,KRR,RU,4,0,8,5,138,3854.22,6360
28392,Pegasus Airlines,1,KRR,TR,4,0,8,6,146,951.29,18491
28393,Azimut,0,KRR,RU,4,0,8,3,122,325.32,1380
28394,Azimut,0,KRR,RU,4,0,8,1,134,1285.86,2980
28396,Azimut,1,KRR,RU,4,0,8,3,143,1076.39,3787
28399,Aeroflot,1,KRR,RU,4,0,8,3,136,6805.85,19833
28402,Uzbekistan Airways,0,KRR,UZ,4,0,8,1,120,2660.03,10969
28403,S7 Airlines,1,KRR,RU,4,0,8,2,128,3460.4,12685
28405,Azimut,0,KRR,RU,4,0,8,3,122,724.92,1680
28407,Azimut,1,KRR,RU,4,0,8,3,122,1997.58,10354
28412,Azimut,1,KRR,RU,4,0,8,3,143,1330.51,7670
28418,Uzbekistan Airways,1,KRR,UZ,4,0,8,1,120,2351.89,19372
28419,Azimut,2,KRR,RU,4,0,8,5,131,6230.69,15420
28420,Azimut,0,KRR,RU,4,0,8,0,147,1232.74,2980
28425,Nordwind Airlines,1,KRR,RU,4,0,8,1,120,6971.28,17256
28426,S7 Airlines,1,KRR,RU,4,0,8,2,135,4422.35,20442
28427,Turkish Airlines,1,KRR,US,4,0,8,3,122,10949.33,59137
28428,Aeroflot,1,KRR,RU,4,0,8,6,139,1590.93,10195
28430,Azimut,1,KRR,RU,4,0,8,1,120,1877.92,7434
28431,S7 Airlines,2,KRR,RU,4,0,8,5,131,560.02,9879
28433,Azimut,0,KRR,RU,4,0,8,1,141,1711.92,5270
28434,Uzbekistan Airways,1,KRR,UZ,4,0,8,1,120,2152.25,10226
28436,Azimut,2,KRR,TR,4,0,8,5,145,951.92,10920
28439,Azimut,0,KRR,RU,4,0,8,3,122,2647.22,8712
28440,Aeroflot,1,KRR,RU,4,0,8,1,120,399.63,12625
28442,Pobeda,0,KRR,RU,4,0,8,1,134,1986.89,6249
28443,S7 Airlines,2,KRR,RU,4,0,8,2,149,3717.51,22038
28445,Turkish Airlines,2,KRR,US,4,0,8,3,122,10916.06,83056
28446,S7 Airlines,1,KRR,RU,4,0,8,0,119,4912.75,15752
28447,S7 Airlines,1,KRR,RU,4,0,8,1,148,3790.55,17782
28449,Azimut,1,KRR,RU,4,0,8,4,130,1714.44,4150
28451,Pobeda,1,KRR,RU,4,0,8,1,120,1603.8,7290
28453,Azimut,1,KRR,RU,4,0,8,0,140,2177.9,8260
28454,Azimut,0,KRR,RU,4,0,8,3,136,753.97,1813
28457,Azimut,1,KRR,RU,4,0,8,0,119,2529.1,11308
28458,S7 Airlines,1,KRR,RU,4,0,8,1,141,3535.31,14453
28460,Turkish Airlines,1,KRR,US,4,0,8,2,128,10040.11,77631
28461,Azimut,0,KRR,RU,4,0,8,0,133,1485.05,3580
28462,Uzbekistan Airways,1,KRR,KZ,4,0,8,2,135,2998.72,13057
28464,Azimut,0,KRR,RU,4,0,8,1,120,1595.61,4280
28467,Aeroflot,1,KRR,RU,4,0,8,6,139,7362.46,19833
28468,Azimut,1,KRR,RU,4,0,8,0,126,2999.1,11360
28469,Azimut,1,KRR,RU,4,0,8,0,147,280.22,2820
28470,KLM,2,KRR,ES,4,0,8,0,119,3008.52,25535
28471,Azimut,0,KRR,RU,4,0,8,5,138,1103.87,1880
28474,Azimut,0,KRR,RU,4,0,8,2,135,1376.66,2680
28475,Pobeda,1,KRR,RU,4,0,8,0,126,2860.71,11398
28476,Azimut,0,KRR,RU,4,0,8,5,131,995.38,4180
28477,S7 Airlines,1,KRR,RU,4,0,8,1,134,5734.45,26455
28479,S7 Airlines,2,KRR,RU,4,0,8,4,123,7293.62,27557
28481,Aeroflot,1,KRR,RU,4,0,8,1,127,5735.15,19158
28484,Pobeda,1,KRR,RU,4,0,8,0,126,3298.81,12739
28485,Azimut,1,KRR,RU,4,0,8,3,136,187.56,3360
28489,Pobeda,1,KRR,RU,4,0,8,0,119,2695.49,15642
28490,Azimut,0,KRR,RU,4,0,8,6,146,2251.79,5368
28491,Azimut,0,KRR,RU,4,0,8,4,137,1839.21,4634
28492,Pobeda,1,KRR,RU,4,0,8,0,133,2171.68,11972
28493,Uzbekistan Airways,1,KRR,UZ,4,0,8,2,135,2696.14,12882
28500,Aeroflot,1,KRR,RU,4,0,8,6,139,3463.65,13101
28501,Nordwind Airlines,0,KRR,GR,4,0,8,0,147,1488.24,5143
28504,Nordwind Airlines,2,KRR,RU,4,0,8,5,145,1415.16,7328
28505,Uzbekistan Airways,0,KRR,UZ,4,0,8,2,142,2465.85,6582
28506,Pobeda,1,KRR,RU,4,0,8,1,120,844.07,8057
28507,Pegasus Airlines,0,KRR,TR,4,0,8,0,126,1142.82,15766
28508,Azimut,1,KRR,RU,4,0,8,5,131,575.73,3460
28510,Nordwind Airlines,2,KRR,RU,4,0,8,5,131,6813.15,15257
28511,Turkish Airlines,2,KRR,IN,4,0,8,5,138,5444.61,59980
28514,Aeroflot,1,KRR,RU,4,0,8,0,119,7692.61,21348
28517,Pobeda,2,MOW,TR,4,4,4,0,17,1608.63,23913
28518,Aeroflot,0,MOW,RU,4,4,4,4,21,3379.79,9135
28520,Aeroflot,3,MOW,TR,4,4,4,2,19,2086.37,21579
28526,Pegasus Airlines,3,MOW,GR,4,4,4,2,12,2335.39,30091
28527,Pobeda,0,MOW,RU,4,4,4,1,4,1270.49,4149
28531,Pegasus Airlines,2,MOW,DE,4,4,4,2,19,2051.9,30203
28533,Aeroflot,1,MOW,RU,4,4,4,3,13,7042.45,20435
28535,Aeroflot,0,MOW,RU,4,4,4,3,20,1906.42,4200
28540,S7 Airlines,2,MOW,RU,4,4,4,4,14,3795.94,18611
28544,Aeroflot,1,MOW,RU,4,4,4,4,21,1550.87,8978
28549,Pegasus Airlines,3,MOW,ES,4,4,4,0,17,3010.09,27565
28553,Uzbekistan Airways,1,MOW,IN,4,4,4,5,15,4338.6,25192
28555,Pegasus Airlines,2,MOW,DE,4,4,4,3,20,2135.42,29621
28557,Pobeda,0,MOW,RU,4,4,4,1,11,1496.68,4649
28559,Aeroflot,4,MOW,TR,4,4,4,3,13,1731.5,24766
28560,Azimut,1,MOW,RU,4,4,4,4,21,345.27,6860
28562,Aeroflot,3,MOW,TR,4,4,4,1,18,1643.31,22479
28565,Aeroflot,0,MOW,RU,4,4,4,3,20,253.0,1750
28568,Aeroflot,3,MOW,TR,4,4,4,3,13,2195.74,19574
28571,Pobeda,1,MOW,KZ,4,4,4,1,18,3021.44,17139
28573,Pobeda,0,MOW,RU,4,4,4,0,10,3324.82,5882
28574,Pegasus Airlines,3,MOW,ES,4,4,4,2,19,3520.05,31467
28577,Aeroflot,3,MOW,TR,4,4,4,1,11,2089.38,20026
28580,Pegasus Airlines,2,MOW,IT,4,4,4,1,11,2189.37,28280
28582,Azimut,1,MOW,RU,4,4,4,5,8,1334.24,4618
28585,Aeroflot,0,MOW,RU,4,4,4,4,21,386.51,2400
28591,Pegasus Airlines,1,MOW,DE,4,4,4,2,12,2072.57,22006
28593,Azimut,1,MOW,RU,4,4,4,3,13,152.1,4802
28601,Pegasus Airlines,2,MOW,DE,4,4,4,3,6,1985.66,29720
28602,S7 Airlines,1,MOW,RU,4,4,4,3,13,5876.42,13732
28607,Pegasus Airlines,2,MOW,ES,4,4,4,1,11,2935.81,22903
28608,Pobeda,2,MOW,RU,4,4,4,2,12,2335.77,18382
28611,Pobeda,0,MOW,RU,4,4,4,1,4,2991.64,5649
28614,Nordwind Airlines,0,MOW,RU,4,4,4,1,4,1602.63,4005
28615,S7 Airlines,0,MOW,RU,4,4,4,0,17,1939.79,10171
28616,Pobeda,2,MOW,IN,4,4,4,3,13,5022.12,30458
28618,Pegasus Airlines,2,MOW,ES,4,4,4,0,17,3430.21,30276
28619,Aeroflot,0,MOW,RU,4,4,4,3,20,1004.37,4254
28620,Aeroflot,0,MOW,RU,4,4,4,1,18,1201.71,5940
28621,Pegasus Airlines,2,MOW,IT,4,4,4,1,11,2622.72,25067
28623,Pegasus Airlines,1,MOW,DE,4,4,4,6,16,2033.29,23418
28624,Pegasus Airlines,2,MOW,IT,4,4,4,4,21,2668.41,28911
28629,Turkish Airlines,2,MOW,TR,4,4,4,2,5,2067.55,21841
28632,Aeroflot,2,MOW,TR,4,4,4,5,8,2079.39,32850
28634,Wizz Air,2,MOW,IT,4,4,4,0,17,2638.56,26007
28636,Aeroflot,0,MOW,RU,4,4,4,6,16,1191.19,5509
28637,Pobeda,2,MOW,KZ,4,4,4,0,3,2234.22,19638
28638,Pegasus Airlines,2,MOW,IT,4,4,4,2,19,2448.15,29621
28639,Aeroflot,3,MOW,TR,4,4,4,2,19,1988.86,21634
28640,Pobeda,2,MOW,RU,4,4,4,5,1,4575.94,23988
28644,Aeroflot,0,MOW,KZ,4,4,4,6,16,1437.3,12954
28650,Aeroflot,0,MOW,KZ,4,4,4,1,18,1626.78,12942
28655,Aeroflot,1,MOW,RU,4,4,4,3,20,5599.18,12380
28661,Pobeda,0,MOW,RU,4,4,4,1,4,2878.27,5649
28662,Aeroflot,3,MOW,TR,4,4,4,6,9,1911.0,19467
28664,Turkish Airlines,2,MOW,IT,4,4,4,3,6,2232.05,26246
28665,Pegasus Airlines,1,MOW,DE,4,4,4,1,11,1846.08,22704
28667,Pegasus Airlines,2,MOW,GR,4,4,4,4,21,2381.63,29621
28674,Aeroflot,0,MOW,KZ,4,4,4,2,5,1687.7,13925
28676,Pobeda,1,MOW,RU,4,4,4,4,7,1618.77,7576
28678,Pegasus Airlines,2,MOW,GR,4,4,4,1,11,2466.46,29825
28679,Aeroflot,1,MOW,RU,4,4,4,0,17,6410.71,13357
28680,Pobeda,1,MOW,RU,4,4,4,0,17,3840.86,13750
28686,Wizz Air,2,MOW,ES,4,4,4,0,17,3258.09,29056
28690,Nordwind Airlines,0,MOW,RU,4,4,4,2,12,1466.42,3064
28691,Turkish Airlines,2,MOW,GR,4,4,4,3,6,1858.9,33640
28696,Aeroflot,3,MOW,TR,4,4,4,3,6,1768.06,24842
28698,Aeroflot,0,MOW,KZ,4,4,4,1,18,2466.69,13967
28700,Pobeda,0,MOW,RU,4,4,4,6,2,692.14,3099
28709,Pobeda,0,MOW,RU,4,4,4,1,4,1476.84,5049
28711,Pegasus Airlines,2,MOW,ES,4,4,4,5,22,3318.23,29514
28713,Azimut,1,MOW,RU,4,4,4,6,16,1081.68,3428
28714,Aeroflot,3,MOW,TR,4,4,4,1,4,1889.67,22404
28715,Uzbekistan Airways,1,MOW,UZ,4,4,4,5,8,2647.82,8692
28716,Pegasus Airlines,3,MOW,IT,4,4,4,6,16,2195.46,31417
28718,Pobeda,0,MOW,RU,4,4,4,6,2,4208.67,7349
28719,Aeroflot,1,MOW,RU,4,4,4,4,0,6027.81,23655
28720,Aeroflot,1,MOW,RU,4,4,4,2,12,4291.39,22573
28721,Pobeda,1,MOW,RU,4,4,4,2,5,1666.11,6765
28722,Aeroflot,2,MOW,TR,4,4,4,1,11,1759.79,15689
28723,Pegasus Airlines,2,MOW,IT,4,4,4,5,15,2398.73,30149
28724,Pegasus Airlines,2,MOW,GR,4,4,4,3,20,2000.69,28170
28725,Pegasus Airlines,3,MOW,GR,4,4,4,1,11,2456.28,29986
28727,Pegasus Airlines,2,MOW,ES,4,4,4,3,20,3787.36,29838
28728,Aeroflot,1,MOW,RU,4,4,4,3,13,7051.25,20435
28729,Turkish Airlines,2,MOW,TR,4,4,4,5,22,1918.42,26483
28733,Uzbekistan Airways,1,MOW,UZ,4,4,4,5,15,2800.39,11203
28741,Pobeda,0,MOW,RU,4,4,4,2,12,600.92,2499
28745,Pobeda,0,MOW,RU,4,4,4,3,13,1429.66,3749
28748,Aeroflot,3,MOW,TR,4,4,4,1,18,2153.37,22042
28749,Pegasus Airlines,1,MOW,DE,4,4,4,1,18,1934.32,22498
28750,Pegasus Airlines,1,MOW,DE,4,4,4,0,10,1611.43,24820
28754,Uzbekistan Airways,0,MOW,UZ,4,4,4,1,18,2156.62,13978
28758,Aeroflot,1,MOW,RU,4,4,4,0,3,5643.46,25102
28759,Pegasus Airlines,2,MOW,DE,4,4,4,2,5,2115.84,30206
28761,Turkish Airlines,2,MOW,TR,4,4,4,3,20,1783.91,34737
28765,Pegasus Airlines,2,MOW,GR,4,4,4,6,16,2265.01,30405
28766,Pegasus Airlines,2,MOW,ES,4,4,4,0,17,3090.66,30140
28769,Pegasus Airlines,2,MOW,GR,4,4,4,2,5,2231.25,29368
28770,Turkish Airlines,2,MOW,TR,4,4,4,1,4,1994.83,29692
28773,Pegasus Airlines,1,MOW,DE,4,4,4,4,21,1780.92,23900
28777,Pobeda,1,MOW,RU,4,4,4,0,3,1397.49,6583
28779,Pobeda,1,MOW,RU,4,4,4,3,6,4105.39,14048
28780,Wizz Air,2,MOW,IT,4,4,4,4,14,2219.51,27992
28783,Azimut,0,MOW,RU,4,4,4,1,18,616.0,1180
28790,Pobeda,0,MOW,RU,4,4,4,1,4,630.33,2099
28800,Aeroflot,0,MOW,RU,4,4,4,5,22,444.87,5970
28802,Aeroflot,1,MOW,RU,4,4,4,5,1,6097.35,21435
28803,Pobeda,1,MOW,RU,4,4,4,2,12,3908.69,16087
28806,S7 Airlines,0,MOW,RU,4,4,4,1,4,1338.21,5570
28811,Pegasus Airlines,1,MOW,TR,4,4,4,5,22,1770.54,27104
28813,Aeroflot,1,MOW,TR,4,4,4,0,17,2185.48,16155
28815,Pegasus Airlines,2,MOW,ES,4,4,4,5,15,3355.1,34549
28817,Aeroflot,0,MOW,RU,4,4,4,3,20,1476.0,4200
28818,Aeroflot,1,MOW,RU,4,4,4,5,22,1710.73,7517
28819,Pobeda,2,MOW,RU,4,4,4,1,18,5110.23,13832
28820,Turkish Airlines,2,MOW,GR,4,4,4,4,7,2335.85,33972
28821,Aeroflot,3,MOW,TR,4,4,4,1,4,2007.59,23424
28822,Pegasus Airlines,1,MOW,DE,4,4,4,5,8,2083.32,22935
28823,Aeroflot,3,MOW,TR,4,4,4,4,0,1964.06,31877
28825,Pobeda,0,MOW,RU,4,4,4,1,18,906.06,3348
28829,Aeroflot,1,MOW,TR,4,4,4,0,17,2215.01,18642
28835,S7 Airlines,1,MOW,RU,4,4,4,1,4,6646.73,13652
28839,Aeroflot,1,MOW,RU,4,4,4,4,7,3459.75,24510
28843,Pegasus Airlines,2,MOW,DE,4,4,4,4,21,1878.88,29091
28844,Aeroflot,3,MOW,IT,4,4,4,2,5,2238.59,39160
28845,Pobeda,0,MOW,RU,4,4,4,2,5,1474.31,4649
28851,Pegasus Airlines,2,MOW,IT,4,4,4,4,21,2383.39,28488
28852,Aeroflot,0,MOW,RU,4,4,4,3,20,2305.01,7308
28853,Nordwind Airlines,0,MOW,RU,4,4,4,2,5,926.25,2640
28854,Pegasus Airlines,2,MOW,ES,4,4,4,5,15,3023.07,29514
28858,Turkish Airlines,1,MOW,TR,4,4,4,4,14,2071.69,32120
28860,Aeroflot,3,MOW,TR,4,4,4,2,5,1956.25,29210
28861,Pobeda,0,MOW,RU,4,4,4,6,2,730.24,3549
28862,Pobeda,0,MOW,RU,4,4,4,1,4,2138.86,3849
28866,Pegasus Airlines,1,MOW,DE,4,4,4,3,13,2080.67,23574
28867,Pegasus Airlines,3,MOW,ES,4,4,4,4,21,3702.75,38340
28868,S7 Airlines,0,MOW,RU,4,4,4,2,5,5010.31,10068
28869,Pegasus Airlines,2,MOW,IT,4,4,4,4,14,2187.41,29260
28876,Pegasus Airlines,2,MOW,DE,4,4,4,2,19,1653.57,29091
28881,Wizz Air,3,MOW,IT,4,4,4,4,21,2206.07,29908
28882,Aeroflot,1,MOW,RU,4,4,4,0,3,5988.85,25936
28886,Pobeda,0,MOW,RU,4,4,4,1,11,2919.21,6249
28892,Azimut,1,MOW,RU,4,4,4,0,17,1372.69,6160
28900,Pegasus Airlines,2,MOW,IT,4,4,4,1,4,2347.45,28797
28903,Pobeda,1,MOW,RU,4,4,4,0,17,4728.02,14610
28904,Pobeda,0,MOW,RU,4,4,4,1,4,1699.29,2999
28905,Pobeda,0,MOW,RU,4,4,4,3,13,1141.58,3449
28909,Pobeda,0,MOW,RU,4,4,4,6,9,1727.77,3349
28910,Uzbekistan Airways,2,MOW,IN,4,4,4,5,8,5436.87,34871
28911,Uzbekistan Airways,1,MOW,UZ,4,4,4,5,8,3009.67,8330
28912,Pegasus Airlines,2,MOW,ES,4,4,4,4,7,3811.97,32261
28917,Pegasus Airlines,2,MOW,IT,4,4,4,4,14,2366.55,29303
28920,Aeroflot,0,MOW,RU,4,4,4,4,14,1238.84,5442
28924,Pegasus Airlines,2,MOW,GR,4,4,4,4,14,2277.32,28996
28931,Aeroflot,0,MOW,KZ,4,4,4,5,15,1365.67,12954
28933,Azimut,3,MOW,GR,4,4,4,5,22,2225.12,24508
28934,Pegasus Airlines,2,MOW,ES,4,4,4,0,17,3420.17,29832
28937,Turkish Airlines,2,MOW,TR,4,4,4,2,12,1930.07,23876
28938,Nordwind Airlines,0,MOW,RU,4,4,4,3,6,1245.22,2813
28940,Azimut,0,MOW,RU,4,4,4,0,17,1137.51,4780
28948,Aeroflot,1,MOW,TR,4,4,4,2,12,2154.06,19394
28950,Pobeda,0,MOW,RU,4,4,4,4,7,1193.19,5149
28951,Pobeda,1,MOW,RU,4,4,4,6,2,4419.25,20970
28952,Pobeda,0,MOW,RU,4,4,4,2,19,893.09,3099
28955,Pegasus Airlines,2,MOW,ES,4,4,4,0,10,3646.26,32267
28957,Pegasus Airlines,1,MOW,DE,4,4,4,1,18,1908.87,23648
28960,Pobeda,0,MOW,RU,4,4,4,2,12,771.09,2698
28961,Pegasus Airlines,2,MOW,IT,4,4,4,4,21,2293.35,35176
28964,Aeroflot,1,MOW,RU,4,4,4,5,22,1739.04,7594
28965,S7 Airlines,1,MOW,RU,4,4,4,5,22,6144.5,13273
28966,Turkish Airlines,2,MOW,TR,4,4,4,1,4,2021.43,29692
28967,Pegasus Airlines,2,MOW,GR,4,4,4,3,20,1899.49,30969
28971,Aeroflot,0,MOW,RU,4,4,4,3,20,2345.3,7308
28975,S7 Airlines,1,MOW,RU,4,4,4,1,11,6781.36,13994
28976,Uzbekistan Airways,1,MOW,UZ,4,4,4,5,15,3017.68,12600
28981,Turkish Airlines,2,MOW,TR,4,4,5,0,45,1608.63,21930
28982,Aeroflot,0,MOW,RU,4,4,5,1,53,3379.79,9000
28984,Aeroflot,2,MOW,TR,4,4,5,6,44,2086.37,19774
28991,Pegasus Airlines,2,MOW,GR,4,4,5,0,38,2335.39,21190
28992,Aeroflot,1,MOW,RU,4,4,5,0,24,4720.42,35942
28993,Nordwind Airlines,0,MOW,RU,4,4,5,3,41,1270.49,3788
28999,Aeroflot,1,MOW,RU,4,4,5,5,29,7042.45,20435
29000,Aeroflot,0,MOW,RU,4,4,5,0,45,1906.42,4200
29008,Aeroflot,1,MOW,RU,4,4,5,3,27,1550.87,8978
29013,Turkish Airlines,2,MOW,ES,4,4,5,0,52,3010.09,35316
29015,Turkish Airlines,2,MOW,GR,4,4,5,1,53,2024.17,22931
29017,Uzbekistan Airways,1,MOW,IN,4,4,5,5,43,4338.6,24669
29019,Pegasus Airlines,2,MOW,DE,4,4,5,0,45,2135.42,22307
29021,Aeroflot,0,MOW,RU,4,4,5,6,44,1496.68,4200
29024,Turkish Airlines,1,MOW,TR,4,4,5,1,32,1731.5,19348
29025,S7 Airlines,0,MOW,RU,4,4,5,0,45,345.27,1033
29027,Pegasus Airlines,1,MOW,TR,4,4,5,3,48,1643.31,18590
29032,Aeroflot,0,MOW,RU,4,4,5,0,38,253.0,1750
29035,Azimut,2,MOW,TR,4,4,5,2,40,2195.74,18214
29039,Aeroflot,0,MOW,RU,4,4,5,6,37,3324.82,6000
29043,Azimut,2,MOW,TR,4,4,5,2,47,2089.38,18468
29045,Wizz Air,3,MOW,IT,4,4,5,6,51,2189.37,16345
29052,Aeroflot,0,MOW,RU,4,4,5,1,32,386.51,2400
29053,Nordwind Airlines,1,MOW,RU,4,4,5,3,34,808.34,7680
29054,S7 Airlines,0,MOW,RU,4,4,5,1,53,2161.81,7868
29056,Turkish Airlines,2,MOW,GR,4,4,5,5,50,2158.34,23419
29057,Uzbekistan Airways,2,MOW,IN,4,4,5,5,29,4427.85,33083
29058,Pegasus Airlines,1,MOW,DE,4,4,5,4,49,2072.57,18097
29060,Nordwind Airlines,1,MOW,RU,4,4,5,2,40,152.1,5210
29062,Wizz Air,2,MOW,DE,4,4,5,4,28,2018.9,35918
29073,Pegasus Airlines,2,MOW,ES,4,4,5,1,39,2935.81,22880
29074,Uzbekistan Airways,0,MOW,UZ,4,4,5,4,35,2951.46,10308
29076,Aeroflot,0,MOW,RU,4,4,5,2,40,2991.64,7200
29079,Azimut,1,MOW,RU,4,4,5,4,35,1602.63,4657
29080,S7 Airlines,0,MOW,RU,4,4,5,5,29,1939.79,10171
29082,Azimut,2,MOW,IN,4,4,5,3,48,5022.12,29137
29084,Wizz Air,2,MOW,ES,4,4,5,6,51,3430.21,14801
29085,Aeroflot,0,MOW,RU,4,4,5,6,44,1004.37,4200
29088,Pegasus Airlines,2,MOW,IT,4,4,5,3,34,2622.72,29008
29096,Pegasus Airlines,2,MOW,TR,4,4,5,4,42,2067.55,20779
29099,Turkish Airlines,3,MOW,ES,4,4,5,1,46,3612.93,19318
29100,Turkish Airlines,2,MOW,TR,4,4,5,0,31,2079.39,23204
29103,Uzbekistan Airways,0,MOW,UZ,4,4,5,2,33,2654.56,10308
29107,Turkish Airlines,1,MOW,TR,4,4,5,5,43,1988.86,17936
29108,S7 Airlines,2,MOW,RU,4,4,5,2,40,4575.94,30190
29120,Aeroflot,0,MOW,KZ,4,4,5,6,37,1626.78,12877
29123,Uzbekistan Airways,0,MOW,UZ,4,4,5,3,48,2791.24,10358
29125,Aeroflot,1,MOW,RU,4,4,5,0,45,5599.18,10200
29127,Aeroflot,1,MOW,RU,4,4,5,4,42,3661.34,10295
29130,Pobeda,0,MOW,RU,4,4,5,1,46,2878.27,5649
29131,Aeroflot,2,MOW,TR,4,4,5,1,53,1911.0,20229
29132,Uzbekistan Airways,2,MOW,IN,4,4,5,5,29,5986.37,35009
29134,Pegasus Airlines,1,MOW,DE,4,4,5,4,35,1846.08,16196
29140,Aeroflot,0,MOW,KZ,4,4,5,2,26,1687.7,13704
29142,Aeroflot,1,MOW,RU,4,4,5,4,35,1618.77,7827
29148,Aeroflot,1,MOW,RU,4,4,5,5,50,6410.71,12252
29149,Aeroflot,1,MOW,RU,4,4,5,2,26,3840.86,14740
29150,Azimut,1,MOW,RU,4,4,5,4,35,567.67,3780
29155,Wizz Air,2,MOW,ES,4,4,5,6,23,3258.09,22573
29156,Uzbekistan Airways,3,MOW,IN,4,4,5,6,37,4129.51,35657
29157,Aeroflot,1,MOW,RU,4,4,5,0,38,6079.41,12117
29158,Nordwind Airlines,0,MOW,RU,4,4,5,1,39,1466.42,2564
29159,Turkish Airlines,2,MOW,GR,4,4,5,0,52,1858.9,22933
29162,Aeroflot,1,MOW,RU,4,4,5,1,39,4150.4,14862
29163,Aeroflot,0,MOW,KZ,4,4,5,3,27,2466.69,12877
29164,Turkish Airlines,2,MOW,TR,4,4,5,0,38,2056.91,21544
29165,Pobeda,0,MOW,RU,4,4,5,0,52,692.14,3098
29166,Aeroflot,0,MOW,RU,4,4,5,4,42,1492.57,4200
29171,Wizz Air,3,MOW,GR,4,4,5,4,49,2215.54,16059
29174,Nordwind Airlines,0,MOW,RU,4,4,5,3,27,1476.84,7270
29178,Azimut,1,MOW,RU,4,4,5,6,44,1081.68,3160
29179,Turkish Airlines,2,MOW,TR,4,4,5,3,41,1889.67,19342
29180,Uzbekistan Airways,0,MOW,UZ,4,4,5,0,38,2647.82,10308
29181,Wizz Air,4,MOW,IT,4,4,5,6,44,2195.46,23267
29183,Aeroflot,1,MOW,RU,4,4,5,4,49,4208.67,9128
29184,S7 Airlines,2,MOW,RU,4,4,5,1,39,6027.81,24136
29185,Aeroflot,1,MOW,RU,4,4,5,4,42,4291.39,24190
29187,Aeroflot,1,MOW,RU,4,4,5,1,32,1666.11,6949
29188,Azimut,1,MOW,TR,4,4,5,5,50,1759.79,10775
29189,Pegasus Airlines,2,MOW,IT,4,4,5,1,39,2398.73,22903
29193,Wizz Air,2,MOW,IT,4,4,5,4,28,2725.08,23349
29195,Wizz Air,2,MOW,ES,4,4,5,0,38,3787.36,21649
29196,Aeroflot,1,MOW,RU,4,4,5,6,30,7051.25,20435
29198,Uzbekistan Airways,2,MOW,KZ,4,4,5,2,33,2730.28,13955
29199,Uzbekistan Airways,0,MOW,UZ,4,4,5,0,38,2800.39,10421
29207,Pobeda,0,MOW,RU,4,4,5,2,47,600.92,3098
29221,Uzbekistan Airways,0,MOW,UZ,4,4,5,1,32,2156.62,10308
29222,Turkish Airlines,1,MOW,TR,4,4,5,5,29,6578.11,29430
29226,S7 Airlines,2,MOW,RU,4,4,5,1,46,5643.46,23621
29228,Turkish Airlines,2,MOW,TR,4,4,5,3,34,1783.91,21595
29230,Pegasus Airlines,2,MOW,GR,4,4,5,6,51,2265.01,23303
29231,Wizz Air,2,MOW,ES,4,4,5,2,33,3090.66,25294
29244,Azimut,0,MOW,RU,4,4,5,3,41,616.0,1780
29247,Turkish Airlines,2,MOW,GR,4,4,5,5,50,2248.52,23965
29253,Uzbekistan Airways,2,MOW,IN,4,4,5,6,37,5841.33,35232
29262,Uzbekistan Airways,2,MOW,KZ,4,4,5,2,40,2310.96,27624
29263,S7 Airlines,0,MOW,RU,4,4,5,6,51,444.87,5299
29265,S7 Airlines,2,MOW,RU,4,4,5,4,28,6097.35,21418
29268,S7 Airlines,0,MOW,RU,4,4,5,5,29,1338.21,5500
29272,Uzbekistan Airways,0,MOW,UZ,4,4,5,0,38,2286.26,10308
29274,Pegasus Airlines,1,MOW,TR,4,4,5,1,32,1770.54,27018
29276,Aeroflot,1,MOW,RU,4,4,5,0,24,4029.66,20059
29277,Aeroflot,1,MOW,TR,4,4,5,3,34,2185.48,16271
29279,Pegasus Airlines,2,MOW,ES,4,4,5,2,40,3355.1,24921
29280,Aeroflot,0,MOW,RU,4,4,5,4,35,1476.0,4200
29281,Aeroflot,2,MOW,RU,4,4,5,3,27,5110.23,16099
29282,Pegasus Airlines,1,MOW,TR,4,4,5,4,35,2007.59,25085
29284,Aeroflot,2,MOW,TR,4,4,5,1,53,1964.06,21040
29285,Pegasus Airlines,2,MOW,DE,4,4,5,5,43,1735.05,25787
29286,Pobeda,0,MOW,RU,4,4,5,6,44,906.06,3648
29288,Uzbekistan Airways,1,MOW,KZ,4,4,5,2,26,3101.76,12230
29290,Turkish Airlines,2,MOW,TR,4,4,5,1,39,2215.01,16669
29293,Nordwind Airlines,0,MOW,RU,4,4,5,4,49,1162.99,4078
